
State Machine - |controller|st
Name st.S15 st.S14 st.S13 st.S12 st.S11 st.S10 st.S9 st.S8 st.S7 st.S6 st.S5 st.S4 st.S3 st.S2 st.S1 st.S0 
st.S0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
st.S1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 
st.S2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
st.S3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
st.S4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
st.S5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
st.S6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
st.S7 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 
st.S8 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 
st.S9 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
st.S10 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 
st.S11 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 
st.S12 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 
st.S13 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 
st.S14 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
st.S15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
